Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,198,205,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,968,985,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,2537,2584,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,7369,7555,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,18378,18829,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,32164,32832,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,39163,39762,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,38650,39008,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,3,3,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,139430,141763,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,35,37,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,101,101,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,229,234,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,689,705,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,2750,2870,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,6752,7007,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,9361,9704,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,8441,8667,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,1,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,28359,29326,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,98,98,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,373,373,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,1023,1023,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2921,2921,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,6588,6588,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,10052,10052,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,9234,9234,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,6624,6624,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,2,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,36915,36915,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory failure,J96,0-24,166,170,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory failure,J96,25-34,696,705,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory failure,J96,35-44,1858,1883,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory failure,J96,45-54,5658,5747,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory failure,J96,55-64,14370,14647,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory failure,J96,65-74,26759,27420,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory failure,J96,75-84,33252,34112,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory failure,J96,85+,31782,32416,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory failure,J96,Not stated,2,2,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory failure,J96,All Ages,114543,117102,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,13,13,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,43,43,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,107,107,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,288,288,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,720,720,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,1325,1325,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,1833,1833,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory arrest,R09.2,85+,2398,2398,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Respiratory arrest,R09.2,All Ages,6727,6727,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,30,32,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,95,102,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,240,252,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,614,646,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,1522,1611,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,2694,2831,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,3320,3445,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,3370,3433,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,11885,12352,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,25,25,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,180,183,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,773,779,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,2606,2627,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,7443,7487,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,14087,14157,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,18181,18307,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,21800,22035,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,65095,65600,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,6,7,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,47,50,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,173,181,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,784,836,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,3016,3219,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,7132,7584,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,10889,11471,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,12895,13514,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,1,1,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,34943,36863,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrest,I46,0-24,84,84,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrest,I46,25-34,318,318,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrest,I46,35-44,805,805,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrest,I46,45-54,2313,2313,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrest,I46,55-64,5235,5237,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrest,I46,65-74,8544,8544,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrest,I46,75-84,9401,9402,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrest,I46,85+,9730,9731,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrest,I46,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrest,I46,All Ages,36430,36434,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,17,17,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,43,43,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,128,130,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,445,461,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,1485,1519,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,3854,3958,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,6734,6879,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,9213,9371,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,21919,22378,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Heart failure,I50,0-24,10,10,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Heart failure,I50,25-34,55,55,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Heart failure,I50,35-44,146,146,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Heart failure,I50,45-54,521,522,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Heart failure,I50,55-64,1748,1749,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Heart failure,I50,65-74,3943,3947,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Heart failure,I50,75-84,6649,6652,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Heart failure,I50,85+,10344,10347,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Heart failure,I50,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Heart failure,I50,All Ages,23416,23428,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,14,14,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,44,47,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,150,163,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,523,550,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,1694,1751,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,3385,3475,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,4608,4703,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,5292,5413,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,1,
