S.no,Country,TotalCases,TotalDeaths,Total Recovered,Active cases,Totalcases/1M,TotalDeath/1M,iso_alpha
1,USA,"23,848,410","397,994","14,112,119","9,338,297","71,822","1,199",USA
2,India,"10,528,508","151,954","10,162,738","213,816","7,589",110,IND
3,Brazil,"8,326,115","207,160","7,339,703","779,252","39,021",971,BRA
4,Russia,"3,495,816","63,940","2,882,044","549,832","23,949",438,RUS
5,UK,"3,260,258","86,015","1,406,967","1,767,276","47,890","1,263",UKR
6,France,"2,851,670","69,313","206,802","2,575,555","43,636","1,061",FRA
7,Turkey,"2,364,801","23,495","2,236,938","104,368","27,878",277,TUR
8,Italy,"2,336,279","80,848","1,694,051","561,380","38,671","1,338",ITA
9,Spain,"2,211,967","53,079",,,"47,300","1,135",ESP
10,Germany,"2,004,011","45,492","1,641,200","317,319","23,878",542,DEU
11,Colombia,"1,849,101","47,491","1,683,835","117,775","36,133",928,COL
12,Argentina,"1,770,715","45,125","1,549,490","176,100","38,986",994,ARG
13,Mexico,"1,588,369","137,916","1,185,621","264,832","12,250","1,064",MEX
14,Poland,"1,414,362","32,456","1,155,823","226,083","37,393",858,POL
15,Iran,"1,311,810","56,538","1,101,599","153,673","15,511",669,IRN
16,South Africa,"1,296,806","35,852","1,049,740","211,214","21,718",600,ZAF
17,Ukraine,"1,146,963","20,542","847,391","279,030","26,312",471,UKR
18,Peru,"1,048,662","38,564","976,202","33,896","31,569","1,161",PER
19,Netherlands,"895,687","12,774",,,"52,210",745,NLD
20,Czechia,"874,605","14,029","717,569","143,007","81,588","1,309",CZE
21,Indonesia,"869,600","25,246","711,205","133,149","3,161",92,IDN
22,Canada,"688,891","17,538","593,398","77,955","18,167",462,CAN
23,Romania,"684,917","17,035","614,545","53,337","35,733",889,ROU
24,Belgium,"672,886","20,294","46,417","606,175","57,923","1,747",BEL
25,Chile,"656,712","17,294","614,267","25,151","34,196",901,CHL
26,Iraq,"606,186","12,922","564,359","28,905","14,893",317,IRQ
27,Israel,"529,814","3,870","447,308","78,636","57,604",421,ISR
28,Bangladesh,"525,723","7,849","470,405","47,469","3,175",47,BGD
29,Sweden,"518,783","10,185",,,"51,196","1,005",SWE
30,Portugal,"517,806","8,384","387,607","121,815","50,862",824,PRT
31,Pakistan,"514,338","10,863","469,306","34,169","2,305",49,PAK
32,Philippines,"494,605","9,739","459,252","25,614","4,482",88,PHL
33,Switzerland,"492,832","8,586","317,600","166,646","56,721",988,CHE
34,Morocco,"456,334","7,854","431,167","17,313","12,285",211,MAR
35,Austria,"389,260","6,921","362,931","19,408","43,088",766,AUT
36,Serbia,"368,072","3,687","31,536","332,849","42,219",423,SRB
37,Saudi Arabia,"364,440","6,310","356,201","1,929","10,382",180,SAU
38,Hungary,"347,636","11,066","220,304","116,266","36,036","1,147",HUN
39,Jordan,"312,043","4,107","294,802","13,134","30,420",400,JOR
40,Japan,"302,623","4,233","233,665","64,725","2,397",34,JPN
41,Panama,"291,285","4,651","230,702","55,932","66,944","1,069",PAN
42,Nepal,"266,546","1,943","260,177","4,426","9,061",66,NPL
43,Georgia,"245,789","2,893","229,196","13,700","61,678",726,GEO
44,UAE,"242,969",726,"215,820","26,423","24,408",73, 
45,Lebanon,"237,132","1,781","147,746","87,605","34,827",262,LBN
46,Azerbaijan,"226,200","2,971","213,279","9,950","22,202",292,AZE
47,Ecuador,"226,002","14,246","193,581","18,175","12,706",801,ECU
48,Croatia,"223,097","4,517","213,370","5,210","54,527","1,104",HRV
49,Belarus,"219,663","1,554","202,446","15,663","23,251",164,BLR
50,Slovakia,"217,978","3,260","160,401","54,317","39,915",597,SVK
51,Bulgaria,"210,951","8,396","150,370","52,185","30,484","1,213",BGR
52,Dominican Republic,"187,487","2,428","140,524","44,535","17,190",223,DOM
53,Denmark,"185,159","1,660","161,194","22,305","31,906",286,DNK
54,Costa Rica,"183,242","2,401","140,573","40,268","35,795",469,CRI
55,Bolivia,"181,016","9,530","141,736","29,750","15,394",810,BOL
56,Tunisia,"170,895","5,478","124,610","40,807","14,379",461,TUN
57,Kazakhstan,"166,146","2,349","151,838","11,959","8,792",124,KAZ
58,Lithuania,"164,414","2,346","97,511","64,557","60,859",868,LTU
59,Armenia,"163,972","2,974","152,320","8,678","55,279","1,003",ARM
60,Ireland,"163,057","2,488","23,364","137,205","32,825",501,IRL
61,Kuwait,"156,434",946,"150,061","5,427","36,342",220,KWT
62,Egypt,"153,741","8,421","121,072","24,248","1,487",81,EGY
63,Moldova,"151,687","3,211","140,983","7,493","37,650",797,MDA
64,Palestine,"150,505","1,665","136,247","12,593","29,141",322,PSE
65,Malaysia,"147,855",578,"113,288","33,989","4,537",18,MYS
66,Greece,"147,283","5,387","9,989","131,907","14,168",518,GRC
67,Guatemala,"146,937","5,151","133,082","8,704","8,121",285,GTM
68,Qatar,"146,689",246,"143,261","3,182","52,243",88,QAT
69,Slovenia,"145,472","3,093","119,149","23,230","69,969","1,488",SVN
70,Myanmar,"132,865","2,912","116,100","13,853","2,433",53,MMR
71,Honduras,"131,963","3,335","59,963","68,665","13,211",334,HND
72,Oman,"131,264","1,509","123,593","6,162","25,361",292,OMN
73,Ethiopia,"129,922","2,008","114,749","13,165","1,115",17,ETH
74,Paraguay,"119,640","2,466","94,983","22,191","16,664",343,PRY
75,Venezuela,"118,415","1,090","111,999","5,326","4,171",38,VEN
76,Bosnia and Herzegovina,"117,011","4,411","84,650","27,950","35,786","1,349",BIH
77,Libya,"107,434","1,645","84,245","21,544","15,522",238,LBY
78,Nigeria,"105,478","1,405","83,830","20,243",505,7,NGA
79,Algeria,"103,127","2,822","69,992","30,313","2,329",64,DZA
80,Kenya,"98,693","1,723","81,933","15,037","1,814",32,KEN
81,Bahrain,"96,812",356,"93,329","3,127","55,869",205,BHR
82,North Macedonia,"87,986","2,672","69,137","16,177","42,233","1,283",MKD
83,Kyrgyzstan,"82,857","1,381","78,715","2,761","12,589",210,KGZ
84,Uzbekistan,"77,845",619,"76,335",891,"2,308",18,UZB
85,S. Korea,"71,241","1,217","56,536","13,488","1,389",24, 
86,Albania,"65,994","1,261","39,246","25,487","22,946",438,ALB
87,Singapore,"59,029",29,"58,757",243,"10,047",5,SGP
88,Norway,"57,736",511,"46,611","10,614","10,605",94,NOR
89,Ghana,"56,981",341,"55,236","1,404","1,814",11,GHA
90,Montenegro,"54,316",740,"43,940","9,636","86,475","1,178",MNE
91,Afghanistan,"53,831","2,324","45,298","6,209","1,366",59,AFG
92,Latvia,"52,982",920,"38,417","13,645","28,260",491,LVA
93,Sri Lanka,"50,899",251,"43,747","6,901","2,372",12,LKA
94,El Salvador,"50,157","1,469","44,304","4,384","7,712",226,SLV
95,Luxembourg,"48,486",545,"45,449","2,492","76,787",863,LUX
96,Finland,"39,593",616,"31,000","7,977","7,140",111,FIN
97,Uganda,"38,085",304,"13,083","24,698",819,7,UGA
98,Estonia,"35,621",311,"25,032","10,278","26,843",234,EST
99,Zambia,"32,800",514,"22,504","9,782","1,758",28,ZMB
100,Uruguay,"29,989",280,"21,685","8,024","8,617",80,URY
101,Namibia,"29,570",275,"25,845","3,450","11,526",107,NAM
102,Australia,"28,665",909,"25,880","1,876","1,117",35,AUS
103,Cyprus,"28,124",163,"2,057","25,904","23,203",134,CYP
104,Cameroon,"27,336",451,"24,892","1,993","1,016",17,CMR
105,Sudan,"25,730","1,576","15,240","8,914",580,35,SDN
106,Zimbabwe,"25,368",636,"14,714","10,018","1,694",42,ZWE
107,Ivory Coast,"24,578",140,"22,856","1,582",920,5, 
108,Mozambique,"24,269",211,"18,352","5,706",765,7,MOZ
109,Senegal,"22,178",496,"18,756","2,926","1,306",29,SEN
110,DRC,"20,479",626,"14,770","5,083",225,7, 
111,Angola,"18,613",425,"16,008","2,180",557,13,AGO
112,Madagascar,"18,001",267,"17,447",287,641,10,MDG
113,French Polynesia,"17,590",126,"4,842","12,622","62,423",447,PYF
114,Botswana,"17,365",71,"13,519","3,775","7,305",30,BWA
115,Cuba,"16,549",160,"12,699","3,690","1,462",14,CUB
116,Mauritania,"15,893",396,"14,222","1,275","3,371",84,MRT
117,Malta,"15,079",235,"12,250","2,594","34,102",531,MLT
118,French Guiana,"14,654",74,"9,995","4,585","48,395",244,GUF
119,Maldives,"14,325",49,"13,463",813,"26,254",90,MDV
120,Guinea,"14,051",81,"13,301",669,"1,055",6,GIN
121,Jamaica,"13,915",322,"11,592","2,001","4,688",108,JAM
122,Tajikistan,"13,308",90,"13,218",0,"1,379",9,TJK
123,Syria,"12,760",809,"6,329","5,622",720,46,SYR
124,Cabo Verde,"12,664",115,"11,989",560,"22,645",206,CPV
125,Eswatini,"12,327",335,"8,076","3,916","10,566",287,SWZ
126,Belize,"11,456",280,"10,641",535,"28,534",697,BLZ
127,Thailand,"11,450",69,"8,288","3,093",164,1,THA
128,Haiti,"10,635",238,"8,903","1,494",927,21,HTI
129,Rwanda,"10,316",133,"6,974","3,209",786,10,RWA
130,Malawi,"9,991",275,"5,866","3,850",515,14,MWI
131,Gabon,"9,819",66,"9,597",156,"4,357",29,GAB
132,Hong Kong,"9,415",161,"8,631",623,"1,250",21,HKG
133,Réunion,"9,406",42,"8,830",534,"10,466",47,REU
134,Guadeloupe,"8,886",154,"2,242","6,490","22,206",385,FRA
135,Andorra,"8,868",88,"8,091",689,"114,674","1,138",AND
136,Burkina Faso,"8,809",97,"6,877","1,835",415,5,BFA
137,Bahamas,"8,011",175,"6,351","1,485","20,267",443,BHS
138,Mali,"7,759",305,"5,414","2,040",377,15,MLI
139,Trinidad and Tobago,"7,320",130,"6,896",294,"5,221",93,TTO
140,Suriname,"7,300",139,"6,543",618,"12,384",236,SUR
141,Congo,"7,160",112,"5,846","1,202","1,281",20,COG
142,Guyana,"6,745",170,"6,068",507,"8,553",216,GUY
143,Lesotho,"6,356",89,"1,621","4,646","2,954",41,LSO
144,Aruba,"6,296",52,"5,662",582,"58,835",486,ABW
145,Martinique,"6,263",44,98,"6,121","16,697",117,MTQ
146,Mayotte,"6,255",56,"2,964","3,235","22,637",203,FRA
147,Nicaragua,"6,152",167,"4,225","1,760",923,25,NIC
148,Iceland,"5,948",29,"5,749",170,"17,370",85,ISL
149,Djibouti,"5,900",61,"5,813",26,"5,925",61,DJI
150,Equatorial Guinea,"5,316",86,"5,169",61,"3,724",60,GNQ
151,CAR,"4,973",63,"4,885",25,"1,020",13,NIC
152,Somalia,"4,744",130,"3,666",948,294,8,SOM
153,Curaçao,"4,498",19,"4,208",271,"27,351",116,NLD
154,Togo,"4,165",73,"3,704",388,497,9,TGO
155,Niger,"4,058",137,"2,750","1,171",164,6,NGA
156,Gambia,"3,893",126,"3,689",78,"1,587",51,GMB
157,South Sudan,"3,670",63,"3,181",426,326,6,SSD
158,Gibraltar,"3,509",25,"2,343","1,141","104,168",742,GIB
159,Benin,"3,413",46,"3,222",145,278,4,BEN
160,Channel Islands,"3,337",76,"2,997",264,"19,098",435, 
161,Sierra Leone,"2,933",77,"2,025",831,364,10,SLE
162,Chad,"2,773",110,"2,073",590,166,7,TCD
163,San Marino,"2,737",65,"2,381",291,"80,571","1,913",SMR
164,Guinea-Bissau,"2,478",45,"2,400",33,"1,243",23,GNB
165,Liechtenstein,"2,375",49,"2,234",92,"62,194","1,283",LIE
166,New Zealand,"2,246",25,"2,145",76,449,5,NZL
167,Yemen,"2,110",612,"1,419",79,70,20,YEM
168,Liberia,"1,878",84,"1,701",93,367,16,LBR
169,Eritrea,"1,805",6,"1,014",785,505,2,ERI
170,Sint Maarten,"1,629",27,"1,478",124,"37,763",626,NLD
171,Vietnam,"1,531",35,"1,369",127,16,0.4,VNM
172,Mongolia,"1,491",2,909,580,451,0.6,MNG
173,Comoros,"1,403",38,"1,010",355,"1,595",43,COM
174,Monaco,"1,145",7,947,191,"29,067",178,MCO
175,Sao Tome and Principe,"1,119",17,990,112,"5,056",77,STP
176,Burundi,"1,103",2,773,328,91,0.2,BDI
177,Saint Martin,"1,076",12,855,209,"27,576",308,MAF
178,Barbados,"1,036",7,493,536,"3,603",24,BRB
